Encoder Position: -181616  Error: 186616  Integral Component: 1866.16  Control Voltage: 18661.6
Encoder Position: -181756  Error: 186756  Integral Component: 3733.72  Control Voltage: 18675.6
Encoder Position: -181895  Error: 186756  Integral Component: 5601.28  Control Voltage: 18675.6
Encoder Position: -181895  Error: 186895  Integral Component: 7470.23  Control Voltage: 18689.5
Encoder Position: -182032  Error: 187032  Integral Component: 9340.55  Control Voltage: 18703.2
Encoder Position: -182167  Error: 187032  Integral Component: 11210.9  Control Voltage: 18703.2
Encoder Position: -182167  Error: 187167  Integral Component: 13082.5  Control Voltage: 18716.7
Encoder Position: -182299  Error: 187299  Integral Component: 14955.5  Control Voltage: 18729.9
Encoder Position: -182299  Error: 187299  Integral Component: 16828.5  Control Voltage: 18729.9
Encoder Position: -182427  Error: 187427  Integral Component: 18702.8  Control Voltage: 18742.7
Encoder Position: -182552  Error: 187427  Integral Component: 20577.1  Control Voltage: 18742.7
Encoder Position: -182552  Error: 187552  Integral Component: 22452.6  Control Voltage: 18755.2
Encoder Position: -182673  Error: 187673  Integral Component: 24329.3  Control Voltage: 18767.3
Encoder Position: -182673  Error: 187673  Integral Component: 26206  Control Voltage: 18767.3
Encoder Position: -182791  Error: 187791  Integral Component: 28083.9  Control Voltage: 18779.1
Encoder Position: -182905  Error: 187905  Integral Component: 29963  Control Voltage: 18790.5
Encoder Position: -182905  Error: 187905  Integral Component: 31842.1  Control Voltage: 18790.5
Encoder Position: -183016  Error: 188016  Integral Component: 33722.2  Control Voltage: 18801.6
Encoder Position: -183122  Error: 188122  Integral Component: 35603.4  Control Voltage: 18812.2
Encoder Position: -183122  Error: 188122  Integral Component: 37484.6  Control Voltage: 18812.2
Encoder Position: -183226  Error: 188226  Integral Component: 39366.9  Control Voltage: 18822.6
Encoder Position: -183226  Error: 188226  Integral Component: 41249.2  Control Voltage: 18822.6
Encoder Position: -183325  Error: 188325  Integral Component: 43132.4  Control Voltage: 18832.5
Encoder Position: -183421  Error: 188325  Integral Component: 45015.7  Control Voltage: 18832.5
Encoder Position: -183421  Error: 188421  Integral Component: 46899.9  Control Voltage: 18842.1
Encoder Position: -183513  Error: 188513  Integral Component: 48785  Control Voltage: 18851.3
Encoder Position: -183513  Error: 188513  Integral Component: 50670.1  Control Voltage: 18851.3
Encoder Position: -183602  Error: 188602  Integral Component: 52556.2  Control Voltage: 18860.2
Encoder Position: -183602  Error: 188602  Integral Component: 54442.2  Control Voltage: 18860.2
Encoder Position: -183687  Error: 188687  Integral Component: 56329.1  Control Voltage: 18868.7
Encoder Position: -183768  Error: 188768  Integral Component: 58216.7  Control Voltage: 18876.8
Encoder Position: -183768  Error: 188768  Integral Component: 60104.4  Control Voltage: 18876.8
Encoder Position: -183846  Error: 188846  Integral Component: 61992.9  Control Voltage: 18884.6
Encoder Position: -183920  Error: 188846  Integral Component: 63881.3  Control Voltage: 18884.6
Encoder Position: -183920  Error: 188920  Integral Component: 65770.5  Control Voltage: 18892
Encoder Position: -183990  Error: 188990  Integral Component: 67660.4  Control Voltage: 18899
Encoder Position: -184057  Error: 188990  Integral Component: 69550.3  Control Voltage: 18899
Encoder Position: -184057  Error: 189057  Integral Component: 71440.9  Control Voltage: 18905.7
Encoder Position: -184120  Error: 189120  Integral Component: 73332.1  Control Voltage: 18912
Encoder Position: -184120  Error: 189120  Integral Component: 75223.3  Control Voltage: 18912
Encoder Position: -184180  Error: 189180  Integral Component: 77115.1  Control Voltage: 18918
Encoder Position: -184235  Error: 189235  Integral Component: 79007.5  Control Voltage: 18923.5
Encoder Position: -184288  Error: 189235  Integral Component: 80899.8  Control Voltage: 18923.5
